ID,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q5,Q6_1,Q6_2,Q18_1,Q18_2,Q23_1,Q23_2,Q26_1,Q26_2,Q27_1,Q27_2,Q28,Q29,Q31,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45_1,Q45_2,Q45_3,Q46_1,Q46_2,Q46_3,Q46_4,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,map_L,map_M,map_N,map_R,map_W,,,,
14630,4,7,4,4,5,4,4,4,3,1,0,0,1,1,0,1,0,0,1,3,3,3.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14629,4,9,3,3,3,3,3,4,4,1,0,0,1,1,0,1,0,0,1,4,4,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14626,5,8,4,5,4,4,4,4,4,1,0,0,1,0,1,1,0,1,0,4,4,3.75,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14624,5,8,5,4,5,5,4,4,3,0,1,0,1,0,1,0,1,0,1,3,3,3.25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
14627,5,9,4,4,3,4,4,4,4,1,0,0,1,0,1,0,1,0,1,3,4,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14647,4,8,4,4,5,5,5,4,4,1,0,1,0,1,0,0,1,0,1,3,3,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14644,4,9,4,3,4,4,4,4,3,1,0,0,1,0,1,0,1,0,1,2,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14655,5,10,5,5,5,5,5,4,5,1,0,1,0,1,0,1,0,1,0,4,5,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14638,3,7,4,3,4,4,5,4,3,1,0,0,1,1,0,1,0,0,1,3,3,3.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14653,4,8,4,4,4,3,4,4,4,0,1,0,1,0,1,0,1,0,1,3,3,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14649,5,8,4,4,5,5,5,4,4,1,0,0,1,0,1,0,1,0,1,3,3,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14665,4,8,4,4,4,4,4,4,3,1,0,1,0,1,0,0,1,0,1,3,4,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14666,5,8,4,4,4,5,4,3,3,1,0,0,1,0,1,1,0,0,1,3,3,3.75,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14641,5,10,5,5,5,5,5,5,4,1,0,1,0,1,0,1,0,1,0,4,3,4.5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14669,4,7,5,4,4,4,5,4,4,1,0,0,1,0,1,0,1,0,1,3,4,4.25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
