ID,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_12,Q9,Q10,Q10_기타,Q11,Q11_기타,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_9,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_5,Q18,Q19,Q20
14630,1,,,3,,,,1,,,4,,,,,,,,,,3,,,2,,,,3,,,,7,,,,,,,,,6,,,2,2,2,2,3,2,3,2,,,,,,,,4,,,2,,
14629,1,,,3,,,,1,,,,5,,,,,,11,,,4,3,,,,1,,,,,,7,,,,,2,,,,,,,2,2,2,2,2,2,2,2,,,,,,,3,4,,,2,,
14626,1,1,,3,,,,1,2,3,,5,6,,,,,,,,4,3,,2,,1,2,,4,,,7,,,,,2,,,,,,,2,2,2,2,2,2,2,2,AI-related,,,,,2,,4,,,2,,
14624,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,6,,,,,,2,3,,,,,,1,2,1,1,,2,,,,,,,,2,,4,,,2,,
14627,1,,,3,,,,1,,,4,,,,,,,,,,4,3,,2,,1,,,,,6,,,,,,,3,,,,,,2,2,1,1,2,2,3,3,,,,,,,3,,,,2,,
14647,1,,,3,,,,1,2,,,5,,,,,,,,,4,3,,1,,,,,,5,,,8,,,,,3,,,,,,2,2,2,2,4,4,4,3,,,,,,,3,,,,1,구체적인 사례와 예시,논문 중복 및 표절 관련
14644,1,,,3,,,,,2,,,,6,,,9,,,,,3,,,3,,1,,,,,6,,8,,,1,2,3,4,,,,,2,1,1,1,3,4,4,4,Case-based Contents,need publicity,need publicity,need publicity,,2,,,,,2,연구윤리 관련 교육과 정보제공,논문 중복 및 표절 관련
14655,1,,,3,,,,1,2,,,,,,,,,,,,4,3,,2,,,,,,,,7,,,,,,3,,,,,,2,2,2,2,1,1,1,1,,,,,,2,,,,,1,,
14638,1,,,3,4,,,,2,3,,5,,,8,9,,,,,4,1,,4,,1,,3,,,,,,,,,2,,,,,,,2,2,1,1,3,2,,,Content,Newsletter,,,1,,,,,,2,,연구 데이터와 현장조사
14653,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,6,,,,,,2,,,,6,,,2,2,2,2,3,3,3,2,,,,,,,,4,,,2,,
