ID,전체_채점,공정_채점,정직_채점,존중_채점,책임_채점,투명성_채점
14630,3,4,3,3,3,2
14629,4,4,4,4,4,4
14626,4,4,4,4,4,4
14624,5,4,5,5,4,5
14627,4,4,4,4,4,4
14647,4,4,4,4,4,4
14644,2,3,1,3,2,2
14655,5,5,5,4,4,4
14638,4,4,4,4,4,4
14653,4,4,4,4,4,4
14649,4,4,4,4,4,4
14665,4,3,4,4,4,4
14666,4,4,4,4,4,4
14641,5,4,5,5,5,4
14669,4,4,4,4,4,5
14648,4,4,4,4,4,4
14684,4,4,4,4,4,4
14710,3,4,3,3,4,4
14640,4,4,4,5,4,4
14657,5,5,5,5,4,4
14699,3,3,2,4,4,4
14668,4,4,4,4,4,4
14642,4,4,5,4,4,4
14695,4,3,4,4,4,4
14698,4,4,5,4,4,4
14733,5,5,5,5,5,5
14639,4,4,5,4,4,4
14693,5,4,5,5,4,5
14677,4,4,4,4,4,4
14658,4,4,4,4,4,4
14738,3,3,3,3,4,4
14778,5,5,5,5,5,5
14637,4,4,4,4,4,4
14763,4,4,4,4,4,4
14779,4,4,5,4,4,4
14775,3,3,3,3,4,3
14709,4,4,4,4,4,4
14802,1,3,1,2,2,2
14628,4,4,4,4,5,5
14783,5,4,5,4,5,4
14787,4,4,4,4,4,4
14673,5,4,4,5,5,5
14714,5,5,5,5,5,5
14805,3,3,2,3,4,4
14804,5,4,5,5,4,5
14809,5,4,4,4,5,5
14711,5,4,4,5,4,5
14708,4,4,4,4,4,4
14834,5,4,5,5,4,5
14814,4,4,4,5,4,4
14817,4,4,5,4,4,4
14849,5,4,5,5,5,5
14853,5,4,5,5,5,5
14858,4,4,4,4,5,4
14871,5,5,5,4,4,4
14883,3,3,4,3,3,4
14860,4,3,4,4,4,4
14707,3,3,4,4,3,4
14731,4,4,5,4,4,4
14930,1,2,1,3,2,2
14919,5,5,5,5,5,5
14623,5,5,5,5,5,5
15036,5,5,5,5,5,5
15062,4,4,4,4,4,4
15126,2,3,2,3,2,2
15149,4,4,4,4,4,4
15204,4,4,4,4,4,4
15222,4,3,4,4,4,4
15169,5,4,5,4,4,5
15272,2,3,2,3,3,3
15274,4,4,5,4,4,4
15244,4,4,4,4,4,4
15289,4,4,4,4,4,4
15291,4,4,4,4,4,4
15304,4,4,4,4,4,4
15361,5,5,5,5,5,5
15395,4,4,4,4,4,4
15400,4,4,4,4,4,4
15426,4,4,3,4,4,4
15396,4,4,4,5,4,5
15456,3,4,4,4,4,4
15435,3,4,4,3,3,2
15515,5,4,5,4,4,5
15541,4,4,5,4,3,4
15557,4,4,5,4,4,4
15478,4,4,3,4,4,4
15571,5,4,5,5,5,5
14682,4,4,4,4,4,4
15597,5,5,4,5,4,5
15641,4,4,4,4,4,4
15654,4,4,4,4,4,4
15701,4,3,5,4,4,4
15299,5,4,5,5,4,4
15529,4,4,4,4,4,4
15758,5,5,5,5,5,5
15896,4,4,4,4,3,4
16207,5,4,4,5,5,5
16458,5,5,5,4,4,4
16522,5,4,5,5,5,5
16655,5,5,5,5,5,5
16933,4,4,4,5,4,4
16918,5,4,5,4,4,4
16962,4,4,4,4,4,4
17159,5,5,5,5,5,5
17568,4,4,4,4,3,4
18141,4,4,4,4,4,4
18796,4,4,5,4,4,4
20367,4,4,4,4,4,4
20180,5,4,5,5,5,5
23778,4,4,4,5,4,4
23802,5,5,5,4,5,5
24887,4,4,4,4,4,4
26069,4,4,4,4,4,4
26065,5,4,5,5,5,5
26058,2,3,1,3,3,4
26061,5,5,5,5,5,5
26062,4,4,4,4,4,4
26057,5,4,5,5,5,5
26077,5,5,5,5,5,5
26081,5,5,5,5,5,5
26076,4,4,4,4,4,4
26075,2,3,2,3,2,2
26074,5,5,5,5,5,5
26066,5,5,5,4,5,5
26064,4,4,4,5,4,4
26083,5,4,5,4,5,5
26063,2,3,4,3,3,2
26078,4,4,5,4,4,3
26090,4,4,5,4,2,3
26082,5,5,5,5,5,5
26085,5,5,5,5,5,5
26093,4,4,5,5,4,4
26132,5,5,5,5,5,5
26095,4,4,4,4,3,3
26125,4,4,5,4,4,5
26147,4,3,4,4,4,4
26148,5,5,5,5,5,5
26141,4,4,4,4,4,4
26157,4,4,4,4,3,4
26140,5,5,5,5,5,5
26171,4,4,4,4,2,4
26160,5,4,4,4,4,4
26161,5,5,5,5,5,5
26173,4,4,5,4,4,4
26178,5,5,5,5,5,5
26170,4,4,5,4,4,4
26191,4,4,4,4,4,4
26198,4,4,4,4,4,4
26202,5,4,5,5,5,5
26216,4,4,4,5,5,4
26258,4,4,4,4,4,4
26328,4,4,4,5,4,4
26199,5,4,5,5,4,5
26400,4,4,4,4,4,4
26514,3,4,3,4,3,2
26519,2,3,1,3,2,2
26671,4,4,5,5,3,4
26765,4,4,4,4,4,4
26739,4,4,4,4,4,4
26816,4,4,5,4,3,4
26895,5,4,5,5,4,4
27004,2,3,1,3,2,2
27015,3,4,3,3,3,4
27046,4,4,3,4,4,4
27725,2,3,1,3,2,2
27863,5,5,5,5,4,4
28045,4,3,4,4,4,4
