ID	Q40_1	Q40_2	Q40_3	Q40_4	Q40_5	Q40_6	Q40_7	Q40_8	Q40_9	Q40_10	Q40_11	Q40_12	Q40_13	Q40_14	Q40_15	Q40_16	Q40_17	Q40_18	Q40_19	Q40_20	Q40_21	Q40_22	Q40_23	Q40_24	Q40_25	Q40_26	Q40_27	Q40_28	Q40_29	Q40_30	Q40_31	Q40_32	Q40_33	Q40_34	Q40_35	Q40_36	Q40_37	Q40_38	Q40_39	Q40_40	Q40_41	Q40_42	Q40_43	Q40_44	Q40_45	Q40_46	Q40_47	Q40_48	Q40_49	Q40_50
14630	4	3	4	4	3	4	3	4	4	3	4	3	4	4	4	3	4	3	4	3	4	4	4	4	4	4	4	2	4	3	4	3	4	3	4	3	3	4	4	4	4	4	1	4	4	4	4	3	1	4
14629	5	4	5	4	4	2	4	2	3	4	3	4	4	2	4	2	3	4	3	4	4	4	4	4	4	3	2	3	2	3	2	4	4	3	1	1	4	3	3	4	4	2	1	3	4	4	3	3	2	4
14626	4	3	3	4	3	3	4	3	3	2	4	4	4	3	3	2	4	4	3	4	4	3	4	4	4	4	3	2	3	3	2	3	4	2	2	2	3	3	3	4	4	3	1	3	3	3	3	4	1	4
14624	4	2	3	4	5	1	5	3	5	3	4	2	4	4	5	1	4	5	3	4	5	5	4	4	4	4	1	2	3	5	1	2	4	4	1	1	4	1	2	3	4	2	1	3	3	5	2	4	1	4
14627	4	3	3	4	3	1	4	3	4	4	3	3	4	3	3	2	4	4	2	4	2	3	5	5	5	3	3	2	1	1	2	2	4	1	1	3	3	1	4	4	4	1	1	2	4	4	4	3	1	4
14647	4	5	4	4	4	4	5	4	4	4	5	5	4	4	3	3	4	5	4	5	2	3	4	5	4	4	2	2	2	4	3	4	5	3	2	3	4	4	4	3	3	2	2	2	3	4	3	3	4	5
14644	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
14655	5	5	5	5	5	5	5	1	3	4	3	3	4	4	3	2	2	4	4	3	3	4	4	3	3	3	3	4	3	2	2	3	3	3	2	4	4	4	4	3	3	3	1	3	3	3	3	3	3	3
14638	4	3	5	4	3	2	4	3	4	2	3	4	5	4	2	2	4	4	4	4	3	3	4	5	4	3	4	2	2	2	2	3	4	3	2	2	4	3	3	4	5	1	1	2	4	4	2	2	2	4
14653	4	3	4	4	4	2	4	1	4	3	5	4	4	4	4	1	4	4	3	4	5	4	4	4	4	4	3	1	3	1	1	3	4	2	1	1	3	1	4	4	3	2	1	2	3	4	1	4	4	4
14649	4	4	4	5	5	5	4	5	5	4	3	5	5	3	4	3	4	3	4	5	2	3	4	4	5	4	3	1	2	2	2	4	5	4	2	2	3	2	3	3	4	2	1	4	5	4	3	5	3	5
14665	4	4	5	4	5	2	2	3	2	3	4	3	4	3	4	3	3	3	3	3	4	3	3	4	5	2	3	1	2	1	2	2	3	1	3	1	1	1	3	3	2	1	1	3	4	3	1	4	5	5
14666	4	3	5	4	4	2	4	4	3	3	3	2	5	4	3	2	3	4	3	3	3	4	4	4	4	4	2	3	3	3	1	4	4	2	2	2	3	1	4	4	4	2	1	3	4	4	1	3	1	4
14641	5	5	5	5	5	3	4	3	4	5	2	3	5	2	4	1	1	3	1	5	5	4	5	5	5	5	1	3	1	1	1	3	5	3	1	3	5	1	3	5	5	1	1	3	5	5	3	1	3	5
14669	4	3	4	5	5	1	4	3	3	3	2	1	4	2	4	2	2	3	1	3	4	5	4	4	5	2	1	1	1	1	1	3	4	3	1	1	3	1	2	2	4	1	1	1	2	4	1	1	1	5
14648	4	3	4	4	4	2	4	4	3	3	3	3	4	4	4	3	4	4	4	4	4	3	3	4	4	4	2	1	3	3	3	3	3	3	2	3	3	3	4	4	3	2	1	4	4	4	2	3	2	4
14684	4	4	3	3	3	3	3	4	4	3	3	4	4	4	4	2	3	4	2	4	4	3	3	3	4	4	3	3	3	4	3	3	4	3	2	3	4	2	3	4	4	2	2	3	4	4	2	3	2	4
14710	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	2	2	4	2	4	4	3	4	4	3	3	3	3	3	4	3
14640	4	2	2	4	4	1	4	2	5	2	4	4	5	3	2	1	3	4	3	3	4	5	3	4	5	4	1	2	2	4	1	3	4	2	1	3	4	3	2	2	5	1	1	1	1	3	1	1	1	4
14657	5	4	4	4	4	3	4	3	3	3	3	2	4	3	4	3	4	4	3	4	4	4	5	5	3	3	3	3	2	4	2	2	4	2	1	1	3	1	2	2	2	1	1	2	3	4	1	4	2	5
14699	4	3	1	3	4	2	4	4	2	2	3	2	4	4	3	2	3	3	3	3	3	2	3	3	3	3	1	1	4	1	1	3	3	1	1	2	3	1	1	4	3	3	1	4	3	3	3	3	1	3
14668	4	3	2	4	3	3	3	3	4	3	3	2	4	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3
14642	4	2	3	5	3	2	3	2	3	2	4	3	4	4	2	2	1	2	1	2	2	2	2	4	4	3	1	3	1	2	2	2	4	2	2	3	2	1	1	2	3	1	1	4	3	3	2	4	3	3
14695	4	4	3	4	4	2	4	3	4	3	4	2	4	4	3	2	4	4	3	3	3	3	4	4	4	2	2	2	3	3	2	2	3	2	2	2	3	2	3	2	4	2	2	3	3	3	3	3	2	3
14698	3	2	3	3	3	2	4	3	1	5	3	2	4	4	3	1	4	4	3	2	3	3	4	4	4	3	3	2	3	3	2	4	3	3	1	1	3	2	4	3	3	3	1	3	3	3	1	4	3	4
14733	5	2	2	5	5	2	5	4	5	5	5	5	5	3	2	2	5	5	4	5	4	4	4	5	5	5	1	3	1	3	1	2	5	4	1	2	3	3	2	4	4	2	1	3	4	5	1	3	2	4
14639	3	1	2	4	4	2	4	2	3	3	3	3	5	3	4	1	2	3	1	4	3	4	4	4	5	4	2	1	4	1	1	2	5	2	2	1	3	1	3	4	4	1	1	2	4	4	2	3	2	4
14693	5	2	4	5	5	1	5	5	4	3	3	3	5	4	5	1	2	5	2	4	5	4	5	5	5	3	1	1	2	4	1	4	4	2	1	1	4	1	2	4	5	1	1	1	4	5	2	2	1	5
14677	2	2	3	5	4	1	4	4	3	3	2	3	4	3	4	1	3	4	2	3	3	3	3	3	4	3	2	2	2	2	2	3	3	3	1	1	3	1	3	3	3	1	1	3	3	3	4	3	1	3
14658	4	2	3	3	4	2	4	3	3	3	2	2	4	2	3	2	2	2	2	3	4	4	4	4	4	3	2	2	2	2	2	4	4	3	2	2	4	2	3	4	3	2	2	3	3	4	2	2	2	3
14738	4	4	4	3	3	3	3	3	3	4	4	4	4	4	4	2	3	4	3	4	4	3	4	4	3	4	3	3	3	3	3	4	4	3	2	2	3	3	3	3	3	2	2	4	4	4	3	2	3	4
14778	4	4	4	4	4	2	4	4	4	4	3	3	4	3	4	2	4	4	3	3	4	4	4	4	4	3	3	3	2	4	2	4	4	3	2	2	4	2	4	4	4	4	1	1	3	4	3	4	2	4
14637	4	3	3	5	5	3	3	3	3	3	4	2	4	2	2	2	3	4	4	4	3	3	3	5	3	3	2	2	1	2	2	3	4	3	2	2	3	2	2	2	3	2	1	3	3	4	2	4	2	4
14763	5	2	3	5	3	1	5	4	2	4	4	2	5	5	5	1	5	5	4	4	5	2	5	5	4	5	2	3	4	1	2	5	5	4	4	3	4	2	4	5	4	1	1	4	5	4	4	2	1	5
14779	3	4	3	4	4	3	4	3	4	3	4	4	4	4	4	4	4	2	3	4	4	4	4	4	4	3	2	2	2	4	1	4	4	2	1	1	4	2	4	4	4	2	2	4	3	4	4	5	4	4
14775	4	3	4	4	4	3	3	3	4	4	3	3	3	3	4	4	3	3	3	3	4	4	4	4	4	3	3	3	3	3	3	3	4	4	4	4	4	4	4	3	3	3	3	3	4	4	4	4	3	3
14709	4	3	4	4	4	2	3	2	3	3	3	2	4	3	4	3	3	3	3	4	3	4	4	4	4	2	2	2	2	3	1	4	4	3	1	1	4	2	2	2	4	2	1	4	2	4	2	3	2	4
14802	2	4	3	4	3	3	2	3	3	3	2	3	3	3	2	3	3	2	3	4	3	3	3	3	3	3	4	3	3	2	3	2	3	2	3	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3
14628	5	3	3	3	4	1	5	3	2	4	3	4	5	4	5	1	4	4	3	4	4	4	5	5	4	3	2	1	3	2	1	3	4	2	2	2	4	1	3	4	4	1	1	3	5	3	3	3	2	5
14783	5	4	5	5	3	2	5	3	4	5	2	4	5	4	5	1	1	2	1	5	3	5	5	5	5	1	1	1	1	3	1	3	5	3	1	1	5	1	2	4	5	1	1	4	5	5	1	1	2	5
14787	3	3	3	3	3	2	3	1	3	1	3	2	3	3	3	2	3	3	3	3	3	4	3	3	3	3	2	2	3	2	2	3	3	3	2	2	3	2	3	2	3	2	1	2	2	3	1	3	2	4
