ID,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10
,I,I,S,I,S,S,I,S,S,I
,,,,R,,,R,,,
14630,4,4,3,4,3,3,4,3,4,3
14629,3,3,3,3,3,3,3,3,3,3
14626,4,4,4,2,4,4,2,3,4,4
14624,3,3,3,3,3,3,3,3,3,3
14627,4,4,4,2,4,5,3,3,4,4
14647,4,4,3,3,4,5,4,4,5,4
14644,3,3,3,3,3,3,3,3,3,3
14655,4,3,3,3,3,3,3,3,3,3
14638,3,4,3,3,4,4,2,4,4,3
14653,3,3,3,3,3,3,3,3,3,3
14649,4,5,4,3,4,4,4,4,5,4
14665,4,4,1,2,1,1,5,3,4,2
14666,4,4,2,3,2,4,3,4,4,3
14641,1,1,1,1,1,1,1,1,1,1
14669,3,4,1,1,3,4,1,4,3,2
14648,4,4,3,2,3,2,3,3,3,3
14684,4,3,4,3,3,3,3,4,3,3
14710,4,3,4,3,4,3,4,3,4,4
14640,1,1,1,1,1,2,4,1,4,1
14657,3,3,3,3,3,3,3,3,3,3
14699,3,3,3,3,3,3,3,3,3,3
14668,4,4,4,3,4,4,2,4,3,3
14642,3,3,3,3,3,3,3,3,3,3
14695,4,4,2,2,2,2,3,3,3,3
14698,4,4,3,2,3,3,2,3,4,4
14733,5,4,3,2,3,4,2,4,4,3
14639,5,4,4,1,3,3,2,3,4,5
14693,5,5,5,1,2,4,1,5,5,5
14677,4,4,4,2,4,3,2,4,4,4
14658,4,4,3,3,3,4,2,3,4,4
14738,3,3,4,3,3,3,2,3,4,4
14778,5,5,5,1,3,3,2,3,4,4
14637,3,4,5,2,4,1,2,3,4,2
14763,5,5,3,1,4,1,1,3,4,5
14779,4,4,3,2,4,4,2,4,4,3
14775,3,4,4,3,3,3,4,4,4,3
14709,4,4,3,1,3,3,2,4,4,3
14802,3,4,3,3,3,3,3,3,3,3
14628,5,4,4,2,3,1,3,4,4,4
14783,5,5,3,1,1,1,1,5,5,4
14787,4,4,1,1,2,2,2,3,4,4
14673,2,2,3,1,2,1,4,2,4,1
14714,5,5,5,1,4,4,1,4,4,5
14805,4,3,2,3,4,4,2,3,4,4
14804,4,4,4,2,3,3,3,3,4,4
14809,4,2,2,2,2,2,4,3,4,3
