ID,Q42,Q43,Q44,Q45,Q46,Q47,Q47_기타,map
14630,1,2,2,3,2,5,,N
14629,1,2,2,3,2,4,,N
14626,1,3,5,2,3,1,,N
14624,1,2,2,3,1,7,해양위성 (갯벌),N
14627,1,5,1,3,4,1,,E
14647,1,3,2,3,3,1,,L
14644,1,2,2,3,1,1,,E
14655,1,1,5,2,1,1,,L
14638,2,1,3,2,1,3,,L
14653,1,2,2,3,1,4,,N
14649,2,1,3,2,1,3,,E
14665,1,2,2,3,2,1,,E
14666,2,2,2,3,1,1,,N
14641,1,4,1,3,4,3,,L
14669,1,1,3,2,1,1,,E
14648,1,3,1,3,3,3,,E
14684,1,3,1,3,4,3,,L
14710,1,2,2,3,1,7,해양방위,L
14640,1,2,6,3,1,3,,E
14657,1,3,1,3,4,3,,L
14699,2,1,3,2,1,3,,E
14668,1,4,1,3,4,1,,L
14642,1,2,2,3,2,5,,L
14695,2,2,2,3,1,3,,N
14698,2,2,3,2,1,5,,M
14733,1,1,2,3,1,3,,L
14639,1,3,2,2,3,3,,N
14693,1,3,1,3,3,6,,N
14677,1,4,1,3,4,3,,E
14658,1,3,2,3,3,5,,E
14738,1,3,4,2,4,5,,L
14778,1,2,2,3,1,5,,N
14637,2,1,2,3,1,5,,E
14763,1,3,1,1,3,7,정보학,N
14779,2,1,2,3,1,3,,E
14775,1,4,1,3,4,4,,E
14709,2,1,2,3,1,3,,E
14802,1,3,2,3,4,4,,R
14628,1,1,3,2,1,3,,N
14783,1,3,2,3,3,1,,L
14787,2,1,5,2,1,4,,E
14673,2,2,2,3,1,3,,E
14714,1,4,1,3,4,1,,E
14805,1,3,5,2,2,1,,L
14804,1,3,2,2,4,5,,N
14809,1,2,6,2,1,1,,E
14711,2,2,5,2,2,1,,N
14708,1,4,1,3,4,1,,N
14834,1,5,1,3,4,3,,E
14814,1,4,5,2,4,7,해색원격탐사,E
14817,1,3,4,3,3,3,,N
14849,2,1,6,2,1,5,,E
14853,2,4,1,3,3,3,,L
14858,1,3,5,1,2,5,,N
14871,1,1,5,2,1,3,,N
14883,2,2,2,3,1,2,,N
14860,1,2,2,3,1,5,,N
14707,2,3,5,2,4,1,,N
14731,2,4,1,3,4,3,,L
14930,1,4,5,2,4,3,,W
14919,1,3,5,3,2,6,,L
14623,1,3,2,3,1,1,,E
15036,1,4,1,3,4,6,,L
15062,2,4,4,3,4,1,,L
15126,1,1,6,1,1,3,,L
15149,2,1,3,2,1,2,,E
15204,1,2,2,3,1,1,,E
15222,1,2,2,3,1,2,,E
15169,1,5,1,3,4,3,,L
15272,1,4,1,3,4,5,,E
15274,2,3,6,2,3,3,,E
15244,1,1,2,3,1,2,,M
15289,1,4,1,3,4,1,,N
15291,1,4,1,3,4,2,,L
15304,1,2,5,2,3,1,,E
15361,2,1,3,2,1,4,,E
15395,1,4,1,2,4,3,,E
15400,1,5,1,3,4,3,,E
15426,2,2,2,3,1,2,,E
15396,1,3,1,3,3,1,,L
15456,1,5,1,3,4,2,,E
15435,1,4,1,3,4,5,,E
15515,1,2,5,2,3,1,,E
15541,1,2,2,3,1,1,,N
15557,1,3,1,3,3,2,,E
15478,2,2,2,3,1,2,,N
15571,1,2,2,3,1,4,,M
14682,1,3,2,3,3,3,,E
15597,1,2,2,3,2,5,,E
15641,2,1,3,2,1,3,,E
15654,2,2,3,2,1,2,,N
15701,1,3,5,2,3,1,,N
15299,1,3,2,1,1,5,,W
15529,1,3,5,2,3,7,햐양데이터,L
15758,1,3,1,2,3,7,정보통신,E
15896,1,3,1,3,4,1,,L
16207,1,2,5,2,2,1,,N
16458,1,4,1,3,4,3,,L
16522,1,2,2,3,1,7,.,E
16655,1,4,1,3,4,6,,L
16933,1,2,2,3,1,7,국제해양법,L
16918,1,3,1,2,3,2,,N
16962,1,3,1,3,4,5,,E
17159,1,2,5,1,1,1,,M
17568,1,3,1,2,4,1,,N
18141,1,3,4,2,4,2,,E
18796,1,4,1,3,4,2,,L
20367,2,2,2,3,1,4,,E
20180,1,4,1,3,4,1,,L
23778,1,3,5,3,2,1,,N
23802,1,3,1,3,4,3,,E
24887,2,3,1,3,4,3,,E
26069,2,2,6,3,2,3,,N
26065,2,1,6,2,1,7,해양데이터,N
26058,2,2,5,2,3,5,,E
26061,2,1,3,2,1,3,,N
26062,2,2,3,2,1,3,,E
26057,2,2,5,2,2,3,,E
26077,1,1,3,2,1,3,,E
26081,1,2,5,1,2,1,,N
26076,2,1,6,1,1,2,,N
26075,1,4,1,1,1,5,,N
26074,1,3,2,2,4,4,,N
26066,1,3,2,3,2,5,,L
26064,1,2,6,3,1,3,,N
26083,2,3,1,3,4,2,,E
26063,1,5,6,3,4,1,,E
26078,1,4,1,3,4,3,,N
26090,1,3,5,2,3,4,,E
26082,1,4,1,3,4,3,,N
26085,2,2,5,2,1,2,,E
26093,2,5,1,2,4,6,,N
26132,1,2,2,3,1,5,,E
26095,1,4,2,3,4,2,,E
26125,1,2,2,3,1,3,,E
26147,2,2,2,3,2,7,기후,N
26148,1,5,1,3,4,3,,M
26141,1,3,2,3,3,3,,N
26157,1,2,2,3,1,5,,E
26140,1,2,2,3,1,7,IT,E
26171,1,3,1,3,3,5,,E
26160,1,4,1,3,4,2,,E
26161,1,2,5,2,3,5,,E
26173,1,4,1,3,4,5,,L
26178,1,4,1,3,4,5,,E
26170,2,2,5,3,2,3,,N
26191,1,4,1,3,4,3,,E
26198,2,5,1,3,4,3,,E
26202,1,3,1,3,4,1,,L
26216,1,2,2,3,1,3,,E
26258,1,4,1,3,4,2,,N
26328,1,4,1,3,4,2,,N
26199,2,3,1,3,2,3,,N
26400,1,3,1,3,3,3,,E
26514,1,2,2,3,2,2,,E
26519,1,3,1,3,2,2,,W
26671,2,2,5,2,2,3,,N
26765,1,2,5,2,2,5,,N
26739,1,3,5,2,4,3,,L
26816,1,4,1,3,4,1,,E
26895,1,3,1,3,3,3,,E
27004,2,2,5,2,1,1,,E
27015,2,2,2,3,1,1,,L
27046,2,1,3,2,1,3,,E
27725,1,3,4,1,4,5,,E
27863,1,4,1,3,4,2,,N
28045,2,2,3,2,3,4,,N
