ID,map
14630,N
14629,N
14626,N
14624,N
14627,E
14647,L
14644,E
14655,L
14638,L
14653,N
14649,E
14665,E
14666,N
14641,L
14669,E
14648,E
14684,L
14710,L
14640,E
14657,L
14699,E
14668,L
14642,L
14695,N
14698,M
14733,L
14639,N
14693,N
14677,E
14658,E
14738,L
14778,N
14637,E
14763,N
14779,E
14775,E
14709,E
14802,R
14628,N
14783,L
14787,E
14673,E
14714,E
14805,L
14804,N
14809,E
14711,N
14708,N
14834,E
14814,E
14817,N
14849,E
14853,L
14858,N
14871,N
14883,N
14860,N
14707,N
14731,L
14930,W
14919,L
14623,E
15036,L
15062,L
15126,L
15149,E
15204,E
15222,E
15169,L
15272,E
15274,E
15244,M
15289,N
15291,L
15304,E
15361,E
15395,E
15400,E
15426,E
15396,L
15456,E
15435,E
15515,E
15541,N
15557,E
15478,N
15571,M
14682,E
15597,E
15641,E
15654,N
15701,N
15299,W
15529,L
15758,E
15896,L
16207,N
16458,L
16522,E
16655,L
16933,L
16918,N
16962,E
17159,M
17568,N
18141,E
18796,L
20367,E
20180,L
23778,N
23802,E
24887,E
26069,N
26065,N
26058,E
26061,N
26062,E
26057,E
26077,E
26081,N
26076,N
26075,N
26074,N
26066,L
26064,N
26083,E
26063,E
26078,N
26090,E
26082,N
26085,E
26093,N
26132,E
26095,E
26125,E
26147,N
26148,M
26141,N
26157,E
26140,E
26171,E
26160,E
26161,E
26173,L
26178,E
26170,N
26191,E
26198,E
26202,L
26216,E
26258,N
26328,N
26199,N
26400,E
26514,E
26519,W
26671,N
26765,N
26739,L
26816,E
26895,E
27004,E
27015,L
27046,E
27725,E
27863,N
28045,N
