,,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10
1,14630,4,4,3,4,3,3,4,3,4,3
2,14629,3,3,3,3,3,3,3,3,3,3
3,14626,4,4,4,2,4,4,2,3,4,4
4,14624,3,3,3,3,3,3,3,3,3,3
5,14627,4,4,4,2,4,5,3,3,4,4
6,14647,4,4,3,3,4,5,4,4,5,4
7,14644,3,3,3,3,3,3,3,3,3,3
8,14655,4,3,3,3,3,3,3,3,3,3
9,14638,3,4,3,3,4,4,2,4,4,3
10,14653,3,3,3,3,3,3,3,3,3,3
11,14649,4,5,4,3,4,4,4,4,5,4
12,14665,4,4,1,2,1,1,5,3,4,2
13,14666,4,4,2,3,2,4,3,4,4,3
14,14641,1,1,1,1,1,1,1,1,1,1
15,14669,3,4,1,1,3,4,1,4,3,2
16,14648,4,4,3,2,3,2,3,3,3,3
17,14684,4,3,4,3,3,3,3,4,3,3
18,14710,4,3,4,3,4,3,4,3,4,4
19,14640,1,1,1,1,1,2,4,1,4,1
20,14657,3,3,3,3,3,3,3,3,3,3
21,14699,3,3,3,3,3,3,3,3,3,3
22,14668,4,4,4,3,4,4,2,4,3,3
23,14642,3,3,3,3,3,3,3,3,3,3
24,14695,4,4,2,2,2,2,3,3,3,3
25,14698,4,4,3,2,3,3,2,3,4,4
26,14733,5,4,3,2,3,4,2,4,4,3
27,14639,5,4,4,1,3,3,2,3,4,5
28,14693,5,5,5,1,2,4,1,5,5,5
29,14677,4,4,4,2,4,3,2,4,4,4
30,14658,4,4,3,3,3,4,2,3,4,4
31,14738,3,3,4,3,3,3,2,3,4,4
32,14778,5,5,5,1,3,3,2,3,4,4
33,14637,3,4,5,2,4,1,2,3,4,2
34,14763,5,5,3,1,4,1,1,3,4,5
35,14779,4,4,3,2,4,4,2,4,4,3
36,14775,3,4,4,3,3,3,4,4,4,3
37,14709,4,4,3,1,3,3,2,4,4,3
38,14802,3,4,3,3,3,3,3,3,3,3
39,14628,5,4,4,2,3,1,3,4,4,4
40,14783,5,5,3,1,1,1,1,5,5,4
41,14787,4,4,1,1,2,2,2,3,4,4
42,14673,2,2,3,1,2,1,4,2,4,1
43,14714,5,5,5,1,4,4,1,4,4,5
44,14805,4,3,2,3,4,4,2,3,4,4
45,14804,4,4,4,2,3,3,3,3,4,4
46,14809,4,2,2,2,2,2,4,3,4,3
47,14711,3,4,3,1,2,3,1,4,4,3
48,14708,4,4,3,2,3,4,2,3,3,3
49,14834,5,5,4,1,4,4,1,4,5,5
50,14814,5,4,3,1,3,2,3,4,4,4
51,14817,4,4,3,2,3,2,1,4,4,5
52,14849,5,5,3,3,5,5,2,5,5,5
53,14853,4,4,4,2,4,4,2,4,4,4
54,14858,5,5,5,2,3,4,2,4,4,4
55,14871,5,5,5,1,3,4,1,4,4,4
56,14883,4,3,3,2,3,3,2,3,3,4
57,14860,4,4,3,2,2,2,2,3,4,3
58,14707,4,3,3,2,4,4,3,4,3,3
59,14731,4,4,4,1,5,5,1,4,4,4
60,14930,3,2,3,3,3,3,2,3,3,3
61,14919,5,5,5,1,5,5,1,5,5,5
62,14623,5,5,4,1,4,4,1,5,5,5
63,15036,4,4,3,1,4,3,1,4,4,4
64,15062,2,2,2,2,2,3,3,3,3,3
65,15126,3,4,3,3,3,3,4,4,3,4
66,15149,4,4,4,2,3,4,2,3,3,3
67,15204,4,4,3,1,2,2,1,4,4,4
68,15222,5,4,3,1,4,4,2,4,5,4
69,15169,5,4,3,2,4,4,1,4,4,5
70,15272,3,2,2,2,2,2,3,2,2,2
71,15274,4,4,4,2,3,4,2,4,3,4
72,15244,4,3,4,2,4,4,4,4,3,3
73,15289,2,4,1,1,1,1,1,1,4,2
74,15291,4,3,2,2,3,3,2,4,4,4
75,15304,4,4,4,3,3,4,2,4,3,3
76,15361,4,4,4,4,4,4,3,3,4,4
77,15395,4,4,4,2,3,3,3,4,3,4
78,15400,4,3,3,2,3,3,2,3,4,4
79,15426,4,3,4,2,4,3,2,4,4,4
80,15396,4,3,2,1,2,2,2,3,4,4
81,15456,4,4,4,2,3,4,2,3,4,4
82,15435,4,5,3,2,3,3,3,4,4,5
83,15515,5,4,4,2,4,2,1,4,4,4
84,15541,5,3,3,1,4,4,1,4,3,4
85,15557,4,3,3,2,4,3,3,4,3,3
86,15478,4,4,4,1,4,4,1,4,4,4
87,15571,3,4,3,2,5,5,2,5,5,3
88,14682,4,4,2,2,3,3,4,4,4,3
89,15597,4,2,1,1,2,2,4,3,3,2
90,15641,4,4,4,2,4,4,2,4,4,4
91,15654,4,4,4,2,2,2,2,3,4,3
92,15701,3,3,2,1,2,2,3,4,4,3
93,15299,4,4,3,1,2,2,3,3,3,4
94,15529,4,3,3,1,2,2,2,5,2,3
95,15758,5,5,5,1,3,3,1,5,5,5
96,15896,5,5,3,1,3,3,1,3,3,4
97,16207,3,3,3,3,3,3,3,3,3,3
98,16458,4,4,4,2,4,2,2,4,5,4
99,16522,5,4,3,1,4,4,2,3,4,5
100,16655,4,4,2,1,3,3,2,4,4,4
101,16933,4,4,4,2,4,5,1,5,5,5
102,16918,5,4,1,1,3,3,1,3,5,4
103,16962,4,4,4,2,4,3,2,4,3,4
104,17159,3,3,3,3,3,3,3,3,3,3
105,17568,3,4,3,4,4,3,2,4,3,3
106,18141,4,4,3,3,4,3,3,4,4,4
107,18796,4,5,4,2,4,4,2,3,3,4
108,20367,4,4,3,2,3,3,3,4,4,4
109,20180,4,4,3,2,3,4,2,3,3,3
110,23778,5,5,4,1,3,3,2,4,4,5
111,23802,5,5,3,1,3,3,1,5,5,5
112,24887,4,4,4,2,4,4,2,4,4,4
113,26069,4,4,4,4,4,4,4,4,4,4
114,26065,4,4,4,1,4,4,2,4,4,4
115,26058,3,3,3,2,3,3,3,3,3,3
116,26061,4,4,4,2,4,4,2,4,4,3
117,26062,3,4,2,2,1,1,2,3,3,3
118,26057,4,4,3,1,3,3,1,4,5,5
119,26077,5,4,3,2,3,3,2,4,4,4
120,26081,5,5,5,5,5,5,5,5,5,5
121,26076,5,5,4,1,2,2,2,3,4,5
122,26075,3,3,3,3,3,3,3,3,3,3
123,26074,5,5,4,1,3,4,1,4,5,5
124,26066,5,5,4,1,3,4,1,4,5,5
125,26064,5,3,4,1,2,1,2,4,4,5
126,26083,3,3,3,3,3,3,2,4,3,2
127,26063,4,4,4,2,3,3,2,3,3,3
128,26078,4,5,3,2,4,4,2,3,3,4
129,26090,4,4,3,2,3,3,3,3,4,4
130,26082,5,5,2,1,2,2,1,3,4,5
131,26085,4,4,4,1,3,3,1,4,4,4
132,26093,3,3,3,2,3,2,2,2,2,3
133,26132,5,5,1,1,3,3,1,4,4,5
134,26095,4,4,3,2,2,3,2,3,3,4
135,26125,4,4,2,2,1,1,2,3,3,2
136,26147,5,4,4,2,3,3,2,4,4,3
137,26148,3,3,3,3,3,3,3,3,3,3
138,26141,5,5,3,1,3,3,2,3,4,4
139,26157,5,3,4,2,1,2,2,2,3,4
140,26140,4,4,4,2,3,3,2,3,3,3
141,26171,4,4,4,2,3,3,2,3,3,3
142,26160,5,5,4,1,4,3,2,3,4,4
143,26161,4,4,4,2,4,4,2,4,4,4
144,26173,4,4,4,2,2,2,3,2,4,3
145,26178,5,5,5,2,4,5,3,4,4,4
146,26170,4,4,4,1,3,3,1,4,4,4
147,26191,4,4,3,2,4,3,2,3,4,3
148,26198,4,4,4,2,2,2,2,4,4,4
149,26202,5,4,2,1,4,4,1,3,5,5
150,26216,5,5,4,1,4,3,1,5,5,5
151,26258,4,4,4,2,3,3,1,3,3,4
152,26328,4,4,2,3,4,4,2,3,3,3
153,26199,5,3,2,1,2,2,3,3,3,4
154,26400,4,4,3,2,3,4,2,4,4,4
155,26514,4,4,4,2,3,3,2,3,3,3
156,26519,4,4,4,2,3,4,2,3,4,3
157,26671,4,4,4,2,4,3,2,3,3,3
158,26765,5,4,4,1,4,5,2,4,3,4
159,26739,5,4,2,1,3,3,1,3,4,4
160,26816,3,3,3,2,3,3,2,3,3,3
161,26895,5,5,5,1,4,4,1,5,4,4
162,27004,3,3,3,3,3,3,3,3,3,3
163,27015,3,4,3,2,3,3,3,3,3,2
164,27046,4,3,2,1,1,1,2,3,3,2
165,27725,3,3,3,3,3,3,3,3,3,3
166,27863,5,5,5,1,3,3,1,5,4,5
167,28045,5,4,4,2,4,3,1,4,4,5
