,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q38_10,Q38_11,Q38_12,Q38_13,Q38_14,Q38_15,Q38_16,Q38_17,Q38_18,Q38_19,Q39_1
14630,4,4,3,4,4,3,4,3,3,4,3,3,4,3,4,3,2,3,4,4
14629,4,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4,5
14626,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
14624,5,3,5,4,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,
14627,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,4,5,4,4
14647,4,4,4,5,4,5,5,4,4,5,5,5,4,5,4,4,4,5,5,3
14644,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14655,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,3
14638,4,4,4,5,4,4,5,3,4,5,5,4,3,4,4,4,4,4,5,4
14653,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4
14649,4,4,5,4,4,5,5,4,4,5,4,5,5,5,4,4,4,5,4,4
14665,3,3,4,4,4,5,5,3,4,4,5,4,4,3,4,5,4,4,5,
14666,5,4,4,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,
14641,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
14669,4,3,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4
14648,4,4,4,4,4,4,5,4,5,5,5,4,4,5,5,4,4,4,4,4
14684,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14710,4,3,4,4,3,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4
14640,5,5,5,3,5,5,5,4,5,5,5,5,3,5,5,4,5,5,4,
14657,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5
14699,3,4,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,
14668,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
14642,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4
14695,4,2,4,2,4,4,5,4,3,5,5,5,4,4,4,4,4,4,4,4
14698,4,3,3,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,4
14733,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
14639,4,5,5,3,5,5,5,5,4,5,5,4,5,3,5,4,4,4,4,3
14693,5,5,5,4,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5
14677,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
14658,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
14738,4,3,4,3,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,3
14778,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14637,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,4,4,5,4,
