ID,공정,정직,존중,책임,투명성,전체
14630,3.75,3.5,3.5,3.5,3.0,3.45
14629,4.25,4.5,4.75,4.0,4.0,4.3
14626,3.75,4.0,3.75,4.0,4.0,3.9000000000000004
14624,4.25,5.0,5.0,4.25,5.0,4.7
14627,4.5,4.75,4.5,4.5,4.25,4.5
14647,4.25,4.5,4.25,4.5,4.5,4.4
14644,3.0,3.0,3.0,3.0,3.0,3.0
14655,5.0,5.0,4.25,4.75,4.75,4.75
14638,4.25,4.0,4.5,3.75,4.25,4.15
14653,4.0,4.25,4.0,3.75,4.0,4.0
14649,4.25,4.5,4.25,4.75,4.25,4.4
14665,3.5,4.25,4.333333333333333,3.75,4.5,4.066666666666666
14666,4.5,4.25,4.666666666666666,4.0,4.0,4.283333333333333
14641,4.5,5.0,5.0,5.0,4.75,4.8500000000000005
14669,4.0,4.75,4.75,4.5,5.0,4.6000000000000005
14648,4.0,4.25,4.75,4.5,4.0,4.3
14684,3.75,4.0,4.0,4.0,4.0,3.95
14710,3.75,3.5,3.5,3.75,3.75,3.6500000000000004
14640,4.5,4.75,5.0,4.5,4.5,4.65
14657,5.0,5.0,5.0,4.5,4.75,4.8500000000000005
14699,3.5,3.25,4.0,3.75,4.0,3.7
14668,4.25,4.25,4.0,4.0,4.0,4.1000000000000005
14642,4.75,5.0,4.5,4.75,4.25,4.65
14695,3.0,4.25,4.25,4.25,4.0,3.95
14698,3.75,5.0,4.5,4.5,3.75,4.3
14733,5.0,5.0,5.0,5.0,5.0,5.0
14639,4.25,5.0,4.25,4.25,4.0,4.3500000000000005
14693,4.75,5.0,5.0,4.0,5.0,4.75
14677,4.25,4.0,4.25,4.0,4.0,4.1000000000000005
14658,4.0,4.0,3.75,4.0,4.0,3.95
14738,3.5,3.5,3.5,3.75,4.0,3.6500000000000004
14778,5.0,5.0,5.0,5.0,5.0,5.0
14637,4.0,4.5,4.666666666666666,4.25,4.25,4.333333333333333
14763,4.5,4.5,4.333333333333333,4.75,4.5,4.516666666666667
14779,4.75,5.0,4.5,4.75,3.75,4.55
14775,3.5,3.5,3.5,3.75,3.25,3.5
14709,3.75,4.75,4.0,3.75,4.25,4.1000000000000005
14802,3.5,2.75,2.75,2.75,2.75,2.9000000000000004
14628,4.25,4.0,4.75,5.0,5.0,4.6000000000000005
14783,4.75,5.0,4.75,5.0,4.75,4.8500000000000005
14787,4.0,4.0,4.0,3.75,4.0,3.95
14673,4.5,4.25,5.0,5.0,5.0,4.75
14714,5.0,5.0,5.0,5.0,5.0,5.0
14805,3.25,3.25,3.5,4.0,4.0,3.6
14804,4.75,5.0,5.0,4.5,5.0,4.8500000000000005
14809,4.75,4.5,4.25,5.0,5.0,4.7
14711,4.25,4.75,5.0,4.75,5.0,4.75
14708,4.0,4.5,4.0,4.25,3.75,4.1000000000000005
14834,4.75,5.0,5.0,4.5,5.0,4.8500000000000005
14814,4.25,4.75,5.0,4.25,4.25,4.5
14817,4.5,5.0,4.5,4.5,4.5,4.6000000000000005
14849,4.0,5.0,5.0,5.0,5.0,4.800000000000001
14853,4.75,5.0,5.0,5.0,5.0,4.95
14858,4.75,4.5,4.75,5.0,4.0,4.6000000000000005
14871,5.0,5.0,4.75,4.5,4.75,4.800000000000001
14883,3.5,4.25,3.5,3.5,3.75,3.7
14860,3.5,4.25,4.0,4.25,4.0,4.0
14707,3.0,4.0,4.0,3.25,4.0,3.6500000000000004
14731,4.5,5.0,4.75,4.5,3.75,4.5
14930,2.75,2.5,3.0,2.75,2.75,2.75
14919,5.0,5.0,5.0,5.0,5.0,5.0
14623,5.0,5.0,5.0,5.0,5.0,5.0
15036,5.0,5.0,5.0,5.0,5.0,5.0
15062,4.0,4.75,4.666666666666666,3.75,4.0,4.233333333333333
15126,3.0,3.25,3.0,3.0,3.0,3.0500000000000003
15149,4.0,4.0,4.0,4.0,4.0,4.0
15204,4.0,4.0,4.0,4.0,4.0,4.0
15222,3.5,4.5,4.5,4.75,4.75,4.4
15169,4.5,5.0,4.75,4.25,5.0,4.7
15272,3.5,3.25,3.25,3.5,3.25,3.35
15274,4.25,5.0,4.0,3.75,4.0,4.2
15244,4.0,4.75,4.333333333333333,4.5,4.5,4.416666666666667
15289,4.5,4.75,4.25,4.0,4.5,4.4
15291,4.5,4.75,4.666666666666666,4.5,4.0,4.483333333333333
15304,3.75,4.0,4.0,4.0,4.0,3.95
15361,5.0,5.0,5.0,5.0,5.0,5.0
15395,4.25,4.25,4.0,4.0,4.25,4.15
15400,4.0,4.0,4.0,4.0,4.0,4.0
15426,4.0,3.75,4.0,3.75,4.0,3.9000000000000004
15396,4.5,4.0,5.0,4.0,5.0,4.5
15456,3.75,4.0,3.75,3.75,3.75,3.8000000000000003
15435,3.75,4.0,3.6666666666666665,3.5,3.0,3.583333333333333
15515,4.75,5.0,4.666666666666666,4.75,5.0,4.833333333333333
15541,4.5,5.0,4.333333333333333,3.5,4.75,4.416666666666667
15557,4.25,5.0,4.25,3.75,4.0,4.25
15478,4.25,3.75,4.666666666666666,4.0,4.0,4.133333333333333
15571,4.75,5.0,5.0,5.0,5.0,4.95
14682,4.5,4.75,4.5,4.0,4.25,4.4
15597,5.0,4.75,5.0,4.5,5.0,4.8500000000000005
15641,4.0,4.0,4.0,4.0,4.0,4.0
15654,4.0,4.0,4.25,4.0,4.0,4.05
15701,3.5,5.0,4.0,4.5,4.0,4.2
15299,4.5,5.0,5.0,4.5,4.75,4.75
15529,4.5,4.75,4.666666666666666,4.25,4.5,4.533333333333333
15758,5.0,5.0,5.0,5.0,5.0,5.0
15896,4.0,4.25,4.666666666666666,3.5,3.75,4.033333333333333
16207,4.0,4.5,5.0,5.0,5.0,4.7
16458,5.0,5.0,4.75,4.0,4.75,4.7
16522,4.75,5.0,5.0,5.0,5.0,4.95
16655,5.0,5.0,5.0,5.0,5.0,5.0
16933,4.25,4.75,5.0,4.0,4.25,4.45
16918,4.75,5.0,4.75,4.25,4.75,4.7
16962,4.25,4.5,4.333333333333333,4.0,4.0,4.216666666666667
17159,5.0,5.0,5.0,5.0,5.0,5.0
17568,4.0,4.25,4.0,3.5,3.75,3.9000000000000004
18141,4.0,4.75,4.5,4.0,4.0,4.25
18796,4.25,5.0,4.333333333333333,4.0,4.0,4.316666666666666
20367,4.25,4.0,4.333333333333333,4.0,4.0,4.116666666666666
20180,4.5,5.0,5.0,5.0,5.0,4.9
23778,4.0,4.75,5.0,4.0,4.25,4.4
23802,5.0,5.0,4.5,5.0,5.0,4.9
24887,4.0,4.0,4.0,4.0,4.0,4.0
26069,4.0,4.0,4.0,4.0,4.0,4.0
26065,4.5,5.0,5.0,5.0,5.0,4.9
26058,3.0,3.0,3.0,3.5,4.0,3.3000000000000003
26061,5.0,5.0,5.0,5.0,5.0,5.0
26062,4.0,4.0,4.25,4.0,4.0,4.05
26057,4.75,5.0,5.0,5.0,5.0,4.95
26077,5.0,5.0,5.0,5.0,5.0,5.0
26081,5.0,5.0,5.0,5.0,5.0,5.0
26076,3.75,4.0,4.0,4.0,4.0,3.95
26075,3.25,3.25,3.0,3.0,3.0,3.1
26074,5.0,5.0,5.0,5.0,5.0,5.0
26066,5.0,5.0,4.75,5.0,5.0,4.95
26064,4.25,4.25,5.0,4.5,4.5,4.5
26083,4.5,5.0,4.666666666666666,5.0,5.0,4.833333333333333
26063,3.0,4.0,3.6666666666666665,3.25,3.0,3.383333333333333
26078,4.75,5.0,4.75,4.25,3.5,4.45
26090,3.75,5.0,4.5,3.0,3.5,3.95
26082,5.0,5.0,5.0,5.0,5.0,5.0
26085,5.0,5.0,5.0,5.0,5.0,5.0
26093,4.0,5.0,5.0,4.25,4.75,4.6000000000000005
26132,5.0,5.0,5.0,5.0,5.0,5.0
26095,4.25,4.25,4.0,3.5,3.25,3.85
26125,4.5,5.0,4.333333333333333,3.75,5.0,4.516666666666667
26147,3.25,4.75,4.666666666666666,4.5,4.0,4.233333333333333
26148,5.0,5.0,5.0,5.0,5.0,5.0
26141,4.0,4.0,4.0,3.75,4.0,3.95
26157,3.75,4.25,4.25,3.5,4.0,3.95
26140,5.0,5.0,5.0,5.0,5.0,5.0
26171,4.0,4.75,4.333333333333333,3.0,4.75,4.166666666666667
26160,4.75,4.75,4.5,4.75,4.75,4.7
26161,5.0,5.0,5.0,5.0,5.0,5.0
26173,4.0,5.0,4.5,4.0,4.25,4.3500000000000005
26178,5.0,5.0,5.0,5.0,5.0,5.0
26170,4.0,5.0,4.75,4.25,4.5,4.5
26191,4.25,4.0,4.5,4.0,4.0,4.15
26198,4.0,4.0,4.0,4.0,4.0,4.0
26202,4.75,5.0,5.0,5.0,5.0,4.95
26216,4.25,4.5,5.0,5.0,4.5,4.65
26258,4.0,4.0,4.666666666666666,4.25,4.0,4.183333333333333
26328,4.0,4.25,5.0,4.25,4.75,4.45
26199,4.75,5.0,5.0,4.25,5.0,4.800000000000001
26400,3.75,4.25,4.25,4.0,4.0,4.05
26514,4.0,3.75,4.333333333333333,3.5,3.0,3.716666666666667
26519,3.0,3.0,3.25,3.0,3.0,3.0500000000000003
26671,4.0,5.0,5.0,3.5,3.75,4.25
26765,4.0,4.25,4.75,3.75,4.0,4.15
26739,4.5,4.75,4.5,4.5,4.5,4.55
26816,4.25,5.0,4.333333333333333,3.25,4.5,4.266666666666667
26895,4.5,5.0,5.0,4.5,4.5,4.7
27004,3.0,3.0,3.0,3.0,3.0,3.0
27015,3.75,3.75,3.333333333333333,3.25,4.0,3.6166666666666667
27046,3.75,3.75,4.0,4.0,4.0,3.9000000000000004
27725,3.0,3.0,3.0,3.0,3.0,3.0
27863,5.0,5.0,5.0,4.75,4.5,4.8500000000000005
28045,3.5,4.0,3.75,4.0,4.0,3.85
